Sample Name,Source Well,Source Plate Barcode,Starting Concentration,Concentration Range
CBP-0066573-01,C20,B004,0,A
CBP-0066574-01,H22,B004,0,A
CBP-0066575-01,E19,B004,0,A
CBP-0066576-01,E20,B004,0,A
CBP-0066577-01,O18,B004,0,A
CBP-0066578-01,G21,B004,0,A
CBP-0066579-01,J19,B004,0,A
CBP-0066580-01,J20,B004,0,A
CBP-0066581-01,B22,B004,0,A
CBP-0066582-01,N21,B004,0,A
CBP-0066583-01,P18,B004,0,A
CBP-0066584-01,H19,B004,0,A
CBP-0066585-01,P19,B004,0,A
CBP-0066586-01,P20,B004,0,A
